--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.001  000.001: --- NVIM STARTING ---
000.312  000.311: event init
000.502  000.189: early init
000.615  000.113: locale set
000.726  000.111: init first window
001.699  000.973: inits 1
001.723  000.024: window checked
001.731  000.008: parsing arguments
003.309  000.163  000.163: require('vim._core.shared')
003.555  000.011  000.011: require('string.buffer')
003.659  000.176  000.164: require('vim.inspect')
003.823  000.137  000.137: require('vim._core.options')
003.829  000.511  000.199: require('vim._core.editor')
003.985  000.153  000.153: require('vim._core.system')
003.990  000.944  000.117: require('vim._init_packages')
003.998  001.323: init lua interpreter
004.102  000.104: expanding arguments
004.162  000.061: inits 2
005.280  001.118: init highlight
005.343  000.063: clear screen
005.915  000.077  000.077: require('vim.keymap')
008.501  000.433  000.433: sourcing nvim_exec2()
008.622  000.051  000.051: require('vim._core.log')
008.876  003.517  002.956: require('vim._core.defaults')
008.883  000.023: init default mappings & autocommands
009.697  000.126  000.126: sourcing /usr/share/nvim/runtime/ftplugin.vim
009.830  000.071  000.071: sourcing /usr/share/nvim/runtime/indent.vim
010.411  000.115  000.115: require('vim.fs')
010.778  000.353  000.353: require('vim.uri')
010.825  000.770  000.302: require('vim.loader')
011.582  000.263  000.263: require('vim.ui.clipboard.osc52')
015.407  001.958  001.958: require('vim.lsp.protocol')
015.500  002.207  000.249: require('vim.lsp.log')
016.218  000.054  000.054: require('vim._core.util')
016.483  000.970  000.916: require('vim.lsp.util')
017.459  000.130  000.130: require('vim.lsp.sync')
017.479  000.941  000.811: require('vim.lsp._changetracking')
017.771  000.122  000.122: require('vim.lsp._transport')
017.793  000.015  000.015: require('vim._core.stringbuffer')
017.957  000.469  000.333: require('vim.lsp.rpc')
018.129  005.298  000.710: require('vim.lsp')
018.894  000.553  000.553: require('vim.lsp.completion')
019.088  000.950  000.397: require('vim.lsp.handlers')
019.096  008.224  001.713: require('nnonne.config.options')
020.288  001.187  001.187: require('nnonne.config.keymaps')
020.586  000.289  000.289: require('nnonne.config.autocommands')
020.843  000.249  000.249: require('nnonne.config.core-ui2')
020.986  000.127  000.127: require('vim._core.ui2')
024.018  002.145  002.145: require('lazy')
024.108  000.050  000.050: require('ffi')
024.553  000.429  000.429: require('lazy.stats')
024.862  000.252  000.252: require('lazy.core.util')
025.665  000.796  000.796: require('lazy.core.config')
026.528  000.330  000.330: require('lazy.core.handler')
027.534  000.255  000.255: require('lazy.pkg')
027.558  000.676  000.421: require('lazy.core.meta')
027.577  001.039  000.363: require('lazy.core.plugin')
027.612  001.933  000.564: require('lazy.core.loader')
029.490  000.332  000.332: require('lazy.async')
030.299  000.553  000.553: require('lazy.manage.process')
030.768  000.460  000.460: require('lazy.terminal')
030.810  001.307  000.294: require('lazy.manage.task')
030.871  001.997  000.358: require('lazy.manage.runner')
030.914  002.344  000.347: require('lazy.manage')
030.924  002.659  000.315: require('lazy.view.commands')
031.398  000.320  000.320: require('lazy.core.fragments')
039.001  000.243  000.243: require('lazy.core.handler.event')
039.017  000.375  000.132: require('lazy.core.handler.ft')
039.142  000.114  000.114: require('lazy.core.handler.cmd')
039.286  000.129  000.129: require('lazy.core.handler.keys')
039.986  000.022  000.022: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
040.025  000.005  000.005: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
040.489  000.011  000.011: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
040.523  000.004  000.004: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
041.523  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
041.556  000.003  000.003: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
042.119  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
042.161  000.004  000.004: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
043.386  000.333  000.333: sourcing nvim_exec2() called at /usr/share/nvim/runtime/filetype.lua:0
043.398  000.566  000.233: sourcing /usr/share/nvim/runtime/filetype.lua
043.407  000.634  000.068: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
044.546  000.113  000.113: sourcing /home/nnonne/.local/share/nvim-lazy/lazy/lush.nvim/plugin/lush.vim
044.561  000.179  000.066: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
044.583  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
044.608  000.003  000.003: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
044.639  000.004  000.004: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
044.654  000.002  000.002: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
048.828  000.142  000.142: require('lush.math')
049.088  000.244  000.244: require('lush.vivid.rgb.convert')
049.098  000.633  000.246: require('lush.vivid.hsl.convert')
049.378  000.276  000.276: require('lush.vivid.hsl_like')
049.387  001.146  000.238: require('lush.vivid.hsl.type')
049.806  000.217  000.217: require('lush.vivid.hsluv.lib')
049.817  000.339  000.121: require('lush.vivid.hsluv.convert')
049.824  000.433  000.094: require('lush.vivid.hsluv.type')
049.840  002.953  001.374: require('lush')
050.221  000.376  000.376: require('zenbones.util')
051.251  000.209  000.209: require('zenbones.specs')
051.945  000.593  000.593: require('zenbones.specs.dark')
052.964  000.310  000.310: require('lush.errors')
053.012  000.757  000.447: require('lush.parser')
071.388  000.622  000.622: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/colors/darker-zenwritten.lua:0
071.598  000.191  000.191: require('lush.compiler')
080.096  000.184  000.184: require('zenbones.term')
080.519  033.777  027.892: sourcing /home/nnonne/.config/nvim-lazy/colors/darker-zenwritten.lua
081.827  000.114  000.114: require('vim.treesitter.language')
081.925  000.086  000.086: require('vim.func')
082.034  000.102  000.102: require('vim.treesitter._range')
082.153  000.103  000.103: require('vim.func._memoize')
082.248  000.772  000.368: require('vim.treesitter.query')
082.295  001.081  000.308: require('vim.treesitter.languagetree')
082.314  001.311  000.231: require('vim.treesitter')
082.774  001.964  000.653: sourcing /home/nnonne/.local/share/nvim-lazy/lazy/nvim-treesitter/plugin/filetypes.lua
