--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.002  000.002: --- NVIM STARTING ---
000.312  000.311: event init
000.504  000.191: early init
000.629  000.125: locale set
000.727  000.098: init first window
001.692  000.965: inits 1
001.716  000.024: window checked
001.724  000.008: parsing arguments
003.313  000.162  000.162: require('vim._core.shared')
003.559  000.010  000.010: require('string.buffer')
003.666  000.178  000.168: require('vim.inspect')
003.830  000.139  000.139: require('vim._core.options')
003.837  000.513  000.196: require('vim._core.editor')
003.961  000.121  000.121: require('vim._core.system')
003.966  000.893  000.097: require('vim._init_packages')
003.978  001.361: init lua interpreter
004.081  000.103: expanding arguments
004.147  000.066: inits 2
005.278  001.131: init highlight
005.328  000.050: clear screen
005.879  000.047  000.047: require('vim.keymap')
008.731  000.492  000.492: sourcing nvim_exec2()
008.846  000.029  000.029: require('vim._core.log')
009.103  003.761  003.193: require('vim._core.defaults')
009.109  000.020: init default mappings & autocommands
009.971  000.122  000.122: sourcing /usr/share/nvim/runtime/ftplugin.vim
010.108  000.064  000.064: sourcing /usr/share/nvim/runtime/indent.vim
010.389  000.190  000.190: sourcing /usr/share/nvim/archlinux.lua
010.400  000.237  000.048: sourcing /etc/xdg/nvim/sysinit.vim
010.906  000.067  000.067: require('vim.fs')
011.854  000.938  000.938: require('vim.uri')
011.907  001.132  000.127: require('vim.loader')
013.492  000.763  000.763: require('vim.version')
014.680  002.079  001.317: require('nnonne.plugins.pluglist')
014.690  002.208  000.129: require('nnonne.utils.pack')
014.696  002.756  000.548: require('nnonne.commands.pack')
015.150  000.125  000.125: require('vim.ui.clipboard.osc52')
020.543  002.664  002.664: require('vim.lsp.protocol')
020.674  003.184  000.520: require('vim.lsp.log')
021.215  000.024  000.024: require('vim._core.util')
021.272  000.585  000.561: require('vim.lsp.util')
021.719  000.218  000.218: require('vim.lsp.sync')
021.739  000.396  000.178: require('vim.lsp._changetracking')
022.180  000.174  000.174: require('vim.lsp._transport')
022.202  000.016  000.016: require('vim._core.stringbuffer')
022.346  000.599  000.408: require('vim.lsp.rpc')
022.535  006.019  001.255: require('vim.lsp')
023.131  000.364  000.364: require('vim.lsp.completion')
023.264  000.721  000.357: require('vim.lsp.handlers')
023.271  008.502  001.637: require('nnonne.settings.options')
024.983  001.707  001.707: require('nnonne.settings.keymaps')
025.446  000.447  000.447: require('nnonne.commands.autocommands')
025.614  000.158  000.158: require('nnonne.plugins.core-ui2')
025.725  000.104  000.104: require('vim._core.ui2')
026.316  000.221  000.221: require('nnonne.plugins.colorscheme')
027.634  000.522  000.522: require('vim._async')
027.699  001.360  000.837: require('vim.pack')
028.517  000.037  000.037: require('vim.F')
032.453  000.319  000.319: require('lush.math')
032.704  000.238  000.238: require('lush.vivid.rgb.convert')
032.714  000.713  000.157: require('lush.vivid.hsl.convert')
033.386  000.667  000.667: require('lush.vivid.hsl_like')
033.417  001.580  000.200: require('lush.vivid.hsl.type')
